technology_id,country,name,groundwater,surfacewater,waterquality,waterquality_referring,watersupply,water_use_rights,water_comments
1000,TJ,Perennial Herbaceous Fodder Plants for Intact Canopy Cover,,,,,RAINFED,,
1001,TJ,Orchard-based Agroforestry (establishment of orchard),,,,,IRRIGATION,,
1002,TJ,Orchard-based Agroforestry (intercropping),,,,,RAINFED,,
1003,TJ,Buffer Strip on Steep Sloping Cropland,,,,,,,
1004,SY,Adding Soil,,,,,RAINFED,,
1005,SY,Furrow-enhanced runoff harvesting for olives,,,,,RAINFED,,
1006,CH,Maize strip tillage,5_50M,,GOOD,,RAINFED,COMMUNAL,"Availability of surface water: good, medium ( precipitation maximum in summer )"
1007,CH,Direct seeding,5_50M,,GOOD,,RAINFED,COMMUNAL,"Availability of surface water: good, medium"
1008,CH,Maize strip tillage,5_50M,,GOOD,,,COMMUNAL,"Availability of surface water: good, medium ( depending on the area ) 
Water quality (untreated): Good drinking water ( generally good quality of water )"
1009,CH,Maize strip tillage,,,,,,,
1010,CH,Maize strip tillage,5_50M,GOOD,GOOD,,,COMMUNAL,"Ground water table: 5-50 m (depending on the area) 
Water quality (untreted): Good drinking water (depending on the region)"
1011,CH,Contour small bench terraces with permanent green cover in vineyards,,,,,MIXED,,
1012,CL,No tillage preceded by subsoiling,5_50M,POOR,GOOD,,RAINFED,INDIVIDUAL,
1013,TN,Jessour,5_50M,MEDIUM,POOR,,RAINFED,INDIVIDUAL,Water quality untreated: Poor drinking water (treatement required) (ground water better than surface water (cisterns)) 
1014,TR,Drip irrigation,50M_PLUS,POOR,POOR,,IRRIGATION,INDIVIDUAL,
1015,TR,Fodder Crop Production,5_50M,MEDIUM,GOOD,,,LEASED,"Ground water table 5-50m (high in winter and spring; low in summer; medium in autumn) 
Availability of surface water is medium (high in winter and spring; low in summer and autumn)
Water quality (untreated) is good drinking water ( Both ground and surface water)"
1016,TJ,Drainage Ditches in Steep Sloping Cropland,,,,,,,
1017,TJ,Orchard-based agroforestry,LESS_5M,POOR,GOOD,,RAINFED,,
1018,CH,Green cover in vineyards,,,,,MIXED,,
1019,ES,Ecological production of almonds and olives using green manure,5_50M,POOR,AGRICULTURALUSE,,RAINFED,INDIVIDUAL,"Ground water table: >50m  (there is a lowering of groundwater table due to overexploitation for irrigation purposes) 
Availability of surface water:S Poor/none. Sporadically there are flash floods during extreme rainfall events 
Water quality (untreated): For agricultural use only (irrigation) (groundwater from aquifers)"
1020,PH,"In ""situ"" Decomposition of Banana Stalk",,,,,IRRIGATION,,
1021,PH,Conservation Tillage Practices for Corn Production,,,,,RAINFED,,
1022,NI,Vermiculture,,,,,RAINFED,,
1023,CO,Intensive agroforestry system,,,,,RAINFED,,
1024,SN,Jachère associée à la rotation des cultures et au paillage,5_50M,MEDIUM,POOR,,RAINFED,OPEN_ACCESS,"Qualité de l’eau (non traitée): Faiblement potable (traitement nécessaire, la qualité diminue en cas de forte pluie)"
1025,SN,Régénération Naturelle Assistée et reboisement du rônier,5_50M,MEDIUM,GOOD,,RAINFED,COMMUNAL|OTHER,"Profondeur estimée de l’eau dans le sol: 5-50 m (11-15 m)
Disponibilité de l’eau de surface: Aussi faible/absente"
1026,SN,Parc à kadd (Faidherbia albida) avec rotation culturale,5_50M,,GOOD,,RAINFED,,"Profondeur estimée de l’eau dans le sol: 5-50m (25m) 
Disponibilité de l’eau de surface: Bonne (hivernage (mares contiennent de l'eau pendant trois mois)), moyenne et faible/absente (tous classé 1) 
Qualité de l’eau (non traitée): Eau potable (puits)"
1027,SN,Parc à Cordyla pinnata avec parcage naturel et paillage,5_50M,,GOOD,,RAINFED,,"Profondeur estimée de l’eau dans le sol: 5-50 m (35m) 
Disponibilité de l’eau de surface: Bonne (mares en eau pendant six mois) et moyenne (petite faune aviaire (pintade), lapin, chacal, les deux classé 1)"
1028,TJ,Growing of fodder crops on steep slopes in arid highlands,50M_PLUS,,GOOD,,IRRIGATION,OPEN_ACCESS,"Ground water table: It is a steep mountain slope 

Water quality (untreated): Water comes from a spring, it is good drinking water"
1029,TJ,Bottle irrigation of a newly planted orchard,50M_PLUS,MEDIUM,GOOD,,RAINFED,LEASED,
1030,SN,Agriculture Durable avec Peu d'Intrants Extérieures (ADPIE),50M_PLUS,MEDIUM,GOOD,,MIXED,LEASED,
1031,MA,Crop rotation: cereals / fodder legumes (lupin),,,GOOD,,,OPEN_ACCESS,
